8.019,5.26,4.883,18.163
7.217,3.779,3.187,14.184
7.841,5.919,3.29,17.051
7.367,3.837,3.081,14.285
7.963,5.743,2.692,16.399
7.194,3.751,2.337,13.282
7.569,4.091,3.05,14.711
7.332,3.779,2.43,13.542
7.22,4.454,2.754,14.428
7.202,5.801,1.948,14.951
7.426,4.922,2.547,14.897
7.627,4.784,4.132,16.543
7.261,4.703,3.321,15.285
8.437,6.002,4.367,18.807
6.675,4.76,1.825,13.261
6.851,5.197,1.864,13.913
6.97,5.497,2.914,15.382
6.84,4.873,4.482,16.195
7.074,4.986,2.773,14.834
7.307,4.231,3.008,14.546
7.177,5.681,2.307,15.166
7.081,4.557,2.267,13.906
7.006,4.552,2.915,14.473
7.155,5.638,2.689,15.484
7.073,4.657,2.174,13.905
6.561,3.31,2.429,12.301
6.754,5.595,2.976,15.326
7.236,4.002,2.284,13.523
7.065,5.197,2.169,14.432
7.104,4.081,2.957,14.143
7.106,4.74,2.486,14.333
7.096,4.411,2.877,14.385
7.358,5.085,2.321,14.766
7.005,5.695,2.919,15.62
7.218,5.197,2.618,15.034
7.069,5.93,1.834,14.834
6.739,3.642,2.695,13.077
7.197,5.13,3.92,16.248
6.737,4.881,3.069,14.688
7.803,4.777,2.321,14.902
7.727,5.088,3.422,16.239
7.57,4.603,3.093,15.267
7.909,5.105,3.129,16.144
7.632,3.996,3.329,14.958
7.251,3.743,3.261,14.256
7.081,5.639,2.163,14.884
6.876,4.791,2.639,14.307
7.109,5.445,1.933,14.488
7.237,4.203,2.562,14.002
7.311,4.514,2.186,14.013
7.151,5.149,1.677,13.978
7.697,4.566,2.345,14.609
7.251,5.901,1.479,14.632
7.105,4.556,1.48,13.142
7.66,5.217,1.508,14.387
6.829,2.941,1.806,11.578
6.808,3.838,2.631,13.278
7.542,4.674,1.782,14
7.614,5.038,2.597,15.25
6.886,2.831,2.507,12.225
7.24,3.984,2.628,13.853
7.716,4.703,1.972,14.392
7.43,4.903,2.342,14.676
6.901,4.975,1.536,13.413
7.523,4.985,1.34,13.849
6.941,3.174,1.601,11.717
7.708,5.168,2.136,15.013
5.845,2.916,1.859,10.621
7.37,5.432,4.004,16.807
7.57,3.735,2.49,13.797
7.462,5.333,2.953,15.749
7.016,4.245,2.219,13.481
6.587,4.47,1.697,12.755
6.811,5.207,1.932,13.95
6.36,4.903,2.931,14.196
7.477,4.997,1.591,14.066
7.127,5.684,1.523,14.335
6.973,5.253,3.234,15.461
7.124,4.338,1.584,13.047
6.891,4.484,1.611,12.987
6.018,3.135,1.662,10.816
6.94,5.304,4.297,16.543
7.218,4.177,3.099,14.495
7.611,3.695,1.948,13.256
7.047,4.454,4.247,15.749
7.356,5.002,2.679,15.039
7.332,4.932,3.762,16.027
6.456,2.684,1.779,10.92
7.191,5.933,2.27,15.395
7.525,4.021,2.525,14.071
6.787,3.71,2.257,12.755
7.171,4.332,2.403,13.907
6.662,4.962,2.731,14.356
6.509,4.028,2.478,13.015
6.685,4.087,2.395,13.168
6.888,4.66,2.473,14.022
5.783,2.556,1.591,9.932
7.074,3.542,2.462,13.08
6.755,3.465,1.709,11.93
6.735,4.223,2.366,13.325
6.719,4.496,2.23,13.446
6.956,4.174,1.888,13.02
7.749,3.546,2.804,14.1
7.209,3.582,2.033,12.825
7.594,3.716,2.081,13.393
7.68,4.488,2.778,14.947
7.029,3.732,2.736,13.497
7.194,2.896,3.183,13.273
7.546,3.76,2.902,14.209
7.605,3.029,2.853,13.489
7.325,3.501,2.58,13.408
7.467,3.732,2.186,13.387
7.581,4.516,3.099,15.197
7.279,4.079,2.854,14.213
7.226,5.034,4.085,16.346
7.299,4.013,3.039,14.352
7.458,4.492,2.917,14.869
7.337,2.916,2.633,12.887
7.33,4.129,3.224,14.685
7.577,3.285,2.749,13.612
7.463,4.221,2.541,14.226
7.168,3.396,2.307,12.871
7.587,4.572,2.443,14.602
6.513,3.262,2.518,12.294
7.034,4.532,2.095,13.662
7.345,3.354,2.27,12.97
7.456,5.433,1.458,14.349
6.683,4.351,2.545,13.58
7.722,3.321,1.835,12.879
7.548,5.769,1.832,15.15
6.69,4.046,3.333,14.071
7.076,3.882,2.387,13.346
6.856,3.771,1.653,12.28
7.489,5.359,4.833,17.683
7.085,4.048,3.904,15.037
6.983,4.054,1.806,12.844
7.398,4.236,2.542,14.176
7.053,3.391,2.024,12.47
7.529,4.7,2.26,14.49
7.708,4.759,2.622,15.09
7.524,4.226,2.538,14.289
6.922,4.382,2.612,13.917
7.43,3.138,2.571,13.141
7.326,5.386,1.903,14.616
7.2,4.89,2.001,14.092
7.188,6.01,2.087,15.286
7.419,4.725,2.302,14.447
7.087,5.408,3.021,15.518
7.286,5.324,3.43,16.041
7.074,5.277,2.763,15.115
7.462,5.762,2.069,15.294
7.746,4.576,1.695,14.018
7.163,5.629,2.284,15.078
7.482,4.506,2.338,14.327
7.242,4.698,2.147,14.087
7.526,5.821,1.517,14.866
7.275,4.717,2.099,14.092
7.836,6.089,2.038,15.965
